word,meaning,sort,title,phonetic,english_meaning,example
education,n.教育；教育学,5,Chapter 5 学校教育,/ˌedʒuˈkeɪʃ(ə)n/,The process of learning things in school or from others to help you understand the world better.,"For example, when you learn how to read, write, and do math in class, that is part of your learning."
primary,adj.主要的；最初的；小学教育的,5,Chapter 5 学校教育,/ˈpraɪməri/,Something that is most important or comes first.,"For example, water is a primary need for people to stay healthy."
secondary,adj.中等教育的；次要的,5,Chapter 5 学校教育,/ˈsekənd(ə)ri/,Something that is not the most important or not the main thing. It can also refer to a type of school that comes after primary school.,"For example, homework is usually a secondary task compared to studying for an exam."
university,n.(综合性)大学,5,Chapter 5 学校教育,/ˌjuːnɪˈvɜːsəti/,A place where people go to study more advanced subjects after high school.,"For example, many students go to a big building with classrooms and libraries to learn about science, history, and other subjects."
college,n.学院；大学,5,Chapter 5 学校教育,/ˈkɒlɪdʒ/,A place where students go to learn more after they finish high school.,"For example, many people go to a big building with classrooms and libraries to study subjects like math and science."
institute,n.研究所，学院,5,Chapter 5 学校教育,/ˈɪnstɪtjuːt/,"A place where people study or work on a special subject, like science or education.","For example, a group of scientists might work at a research center to find new ways to help the environment."
academy,n. 专科院校；｛美国的｝私立中学；研究院，学会,5,Chapter 5 学校教育,/əˈkædəmi/,A place where people go to learn a special subject or to get training.,"For example, a music school where singers and musicians practice their skills."
learn,v.学习；得知,5,Chapter 5 学校教育,/lɜːn/,To learn means to get new knowledge or skills by studying or experiencing something.,"For example, you can learn how to ride a bike by practicing every day."
study,v.学习；研究 n.学习；研究,5,Chapter 5 学校教育,/ˈstʌdi/,To study means to learn something carefully or to look at something closely to understand it better.,"For example, you study for a test by reading your notes and practicing problems."
acquire,v.获得(技能、知识等)；购得,5,Chapter 5 学校教育,/əˈkwaɪə(r)/,"To get something by learning, working, or buying it.","For example, you can learn to ride a bike by practicing every day."
knowledge,n.知识，学识；知悉,5,Chapter 5 学校教育,/ˈnɒlɪdʒ/,"Knowledge is the information you learn and understand from school, books, or experience.","For example, knowing that water boils at 100 degrees Celsius is a type of knowledge."
expertise,n.专门知识，专门技能,5,Chapter 5 学校教育,/ˌekspɜːˈtiːz/,Expertise is the special knowledge or skill you have after learning a lot about something.,"For example, a doctor has expertise in helping sick people."
novice,n.新手,5,Chapter 5 学校教育,/ˈnɒvɪs/,A person who is just learning something and doesn't have much experience yet.,"For example, a new player in a video game is still learning the rules and controls."
recruit,V.吸收(新成员),5,Chapter 5 学校教育,/rɪˈkruːt/,To find and choose new people to join a group or team.,"For example, a sports team might look for new players to add to their group."
literate,adj.有读写能力的,5,Chapter 5 学校教育,/ˈlɪtərət/,Someone who can read and write is considered this.,"For example, if you can read a book and write your name, you are literate."
illiteracy,n.文盲,5,Chapter 5 学校教育,/ɪˈlɪtərəsi/,It means when someone cannot read or write well enough to understand written words.,"For example, a person who can't read a sign or a book is considered illiterate."
numerate,adj.识数的，有计算能力的,5,Chapter 5 学校教育,/ˈnjuːmərət/,"Someone who is able to understand and work with numbers, like adding, subtracting, or counting.","For example, a person who can quickly add up the cost of groceries in their head is numerate."
problem,n.习题；问题,5,Chapter 5 学校教育,/ˈprɒbləm/,A situation that needs to be solved or fixed.,"For example, if your math homework has a question you don't understand, that is a situation you need to work on."
issue,n.重要问题；发行 v.公布，发出,5,Chapter 5 学校教育,/ˈɪʃuː/,A problem that needs to be solved or a topic that is important.,"For example, pollution is an issue that many people are trying to fix."
affair,n. 事件；［~s ］公共事务，政治事务,5,Chapter 5 学校教育,/əˈfeə(r)/,"A thing that happens, especially something important that people talk about.","For example, a big event in a country is called a public matter."
controversial,adj.有争议的,5,Chapter 5 学校教育,/ˌkɒntrəˈvɜːʃ(ə)l/,Something that causes people to argue or have different opinions.,"For example, a new rule at school might be controversial because some students like it and others don't."
puzzle,n.难题；谜 v.使迷惑,5,Chapter 5 学校教育,/ˈpʌz(ə)l/,A problem that is hard to solve or understand.,"For example, a math question can be a puzzle if it is tricky and takes time to figure out."
riddle,n.谜，谜语,5,Chapter 5 学校教育,/ˈrɪd(ə)l/,A question or statement that is hard to understand and usually has a clever answer.,"For example, ""What has keys but can't open locks?"" is a question that makes you think and then you realize the answer is a keyboard."
obscure,adj.难以理解的,5,Chapter 5 学校教育,/əbˈskjʊə(r)/,Something that is hard to understand or not clear.,"For example, the teacher used a word that was hard to figure out, so we asked her to explain it again."
instil,v.逐渐灌输 (=instill) ,5,Chapter 5 学校教育,/ɪnˈstɪl/,"To teach someone something slowly over time, so they start to believe or understand it.","For example, parents can teach their children to be kind by showing them how to help others every day."
cram,V.把……塞进；(为应考)临时死记硬背,5,Chapter 5 学校教育,/kræm/,"To put a lot of things into a small space, or to study a lot of information quickly before a test.","For example, I had to cram all the math notes into my head the night before the exam."
emphasise,"v.强调,着重 (=emphasize) ",5,Chapter 5 学校教育,/ˈemfəsaɪz/,To say or show that something is very important.,"For example, the teacher told the class to focus on the main idea of the story."
enhance,v.提高，增强,5,Chapter 5 学校教育,/ɪnˈhɑːns/,To make something better or stronger.,"For example, eating healthy food can help your body get stronger."
enable,V. 使能够,5,Chapter 5 学校教育,/ɪˈneɪb(ə)l/,To help someone do something or make something possible,"For example, a key can help you open a door."
inspire,v.鼓舞；给……灵感,5,Chapter 5 学校教育,/ɪnˈspaɪə(r)/,"To make someone feel excited or motivated to do something, often by showing them a good idea or example.","For example, a teacher might show students a cool science project to help them think of their own ideas."
motive,n.动机，(行动的)缘由,5,Chapter 5 学校教育,/ˈməʊtɪv/,A motive is the reason why someone does something. It explains what makes a person act in a certain way.,"For example, if you study hard for a test, your motive might be to get a good grade."
